iBike,13,metric
2022,3,8,17,31,18
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
68.946040,66.000000,0.382447,11.283272,1.000000,0.000000,42.976800,2068.0,14.85,1013.25,-8,1.28047,-0.70,68.9,0.000,1.0204,0.29868,0.009683,,-8.00,"iBike Newton, 9.00",0:17:43,4.63,63.5,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
5.7936,10.5904,0,0.0517,0.001,116,41.148,-5.8,8.8889,,,0,0,0,2022-03-09T01:31:31Z,13,0.2987,1.2453
0,10.5904,0,0.0517,0,116,41.148,-6.3,8.8889,,,0,0,0,2022-03-09T01:31:32Z,14,0.2987,1.2453
8.8514,12.9703,65,0.0542,0.001,107,40.8432,-0.6,8.8889,,,0,0,0,2022-03-09T01:32:42Z,15,0.2987,1.2454
8.8514,12.4183,55,0.0566,0.001,107,40.8432,-0.7,8.8889,,,0,0,0,2022-03-09T01:32:43Z,16,0.2987,1.2453
9.4951,12.9705,50,0.0593,0.001,107,40.8432,-1.3,8.8889,,,0,0,0,2022-03-09T01:32:44Z,17,0.2987,1.2453
10.4607,14.0095,42,0.0622,0.001,107,41.148,-1.2,8.8889,,,0,0,0,2022-03-09T01:32:45Z,18,0.2987,1.2454
11.5873,11.84,28,0.0654,0.001,109,41.4528,-1.4,8.8889,,,0,0,0,2022-03-09T01:32:46Z,19,0.2987,1.2454
12.0701,14.0093,14,0.0688,0.001,107,41.4528,-1.7,8.8889,,,0,0,0,2022-03-09T01:32:47Z,20,0.2987,1.2454
12.3919,13.4997,2,0.0722,0.001,107,41.4528,-2,8.8889,,,0,0,0,2022-03-09T01:32:48Z,21,0.2987,1.2454
12.7138,13.4997,0,0.0757,0.001,108,41.7576,-2.3,8.8889,,,0,0,0,2022-03-09T01:32:49Z,22,0.2987,1.2454
13.0357,12.9698,0,0.0793,0.001,108,41.7576,-2.3,8.8889,,,0,0,0,2022-03-09T01:32:50Z,23,0.2987,1.2455
13.1966,12.9698,0,0.083,0.001,108,41.7576,-3.1,8.8889,,,0,0,0,2022-03-09T01:32:51Z,24,0.2987,1.2455
13.6794,13.4994,0,0.0868,0.001,108,42.0624,-2.9,8.8889,,,0,0,0,2022-03-09T01:32:52Z,25,0.2987,1.2455
12.0701,14.501,0,0.0902,0.001,108,42.0624,-2.6,8.8889,,,0,0,0,2022-03-09T01:32:53Z,26,0.2987,1.2454
10.9435,12.4181,19,0.0932,0.001,109,42.0624,-1.8,8.8889,,,0,0,0,2022-03-09T01:32:54Z,27,0.2987,1.2454
10.4607,13.4999,57,0.0961,0.001,110,42.0624,-0.1,8.8889,,,0,0,0,2022-03-09T01:32:55Z,28,0.2987,1.2454
9.6561,13.4999,62,0.0988,0.001,110,42.3672,1.4,8.8889,,,0,0,0,2022-03-09T01:32:56Z,29,0.2987,1.2454
9.0123,12.9705,68,0.1013,0.001,110,42.672,2.6,8.8889,,,0,0,0,2022-03-09T01:32:57Z,30,0.2987,1.2453
8.6905,12.4183,72,0.1037,0.001,110,42.672,3.6,8.8889,,,0,0,0,2022-03-09T01:32:58Z,31,0.2987,1.2453
8.2077,11.8404,79,0.106,0.001,112,42.672,4.3,8.8889,,,0,0,0,2022-03-09T01:32:59Z,32,0.2987,1.2453
7.7249,11.8406,80,0.1081,0.001,113,42.672,4.8,8.8889,,,0,0,0,2022-03-09T01:33:00Z,33,0.2987,1.2453
7.242,12.4186,81,0.1102,0.001,113,42.3672,5.1,8.8889,,,0,0,0,2022-03-09T01:33:01Z,34,0.2987,1.2453
7.242,3.7443,79,0.1122,0.001,113,42.3672,5.1,8.8889,,,0,0,0,2022-03-09T01:33:02Z,35,0.2987,1.2453
7.403,13.5004,83,0.1142,0.001,114,42.3672,4.9,8.8889,,,0,0,0,2022-03-09T01:33:03Z,36,0.2987,1.2453
7.403,12.4188,74,0.1163,0.001,114,42.3672,4.4,8.8889,,,0,0,0,2022-03-09T01:33:04Z,37,0.2987,1.2452
7.403,13.5009,66,0.1183,0.001,114,42.3672,4.1,8.8889,,,0,0,0,2022-03-09T01:33:05Z,38,0.2987,1.2452
7.5639,12.419,60,0.1204,0.001,114,42.3672,3.4,8.8889,,,0,0,0,2022-03-09T01:33:06Z,39,0.2987,1.2452
8.2077,11.8411,42,0.1227,0.001,114,42.3672,2.2,8.8889,,,0,0,0,2022-03-09T01:33:07Z,40,0.2987,1.2452
8.6905,12.9712,11,0.1251,0.001,115,42.3672,0.7,8.8889,,,0,0,0,2022-03-09T01:33:08Z,41,0.2987,1.2452
9.1733,12.4188,0,0.1277,0.001,116,42.0624,-0.8,8.8889,,,0,0,0,2022-03-09T01:33:09Z,42,0.2987,1.2452
8.8514,12.4188,0,0.1301,0.001,114,42.0624,-1.4,8.8889,,,0,0,0,2022-03-09T01:33:10Z,43,0.2987,1.2452
8.8514,12.4188,0,0.1326,0.001,114,41.7576,-2,8.8889,,,0,0,0,2022-03-09T01:33:11Z,44,0.2987,1.2452
9.0123,12.971,11,0.1351,0.001,113,41.7576,-1.8,8.8889,,,0,0,0,2022-03-09T01:33:12Z,45,0.2987,1.2452
9.3342,12.4188,13,0.1377,0.001,112,41.7576,-1.5,8.8889,,,0,0,0,2022-03-09T01:33:13Z,46,0.2987,1.2452
9.817,12.4188,11,0.1404,0.001,115,41.7576,-1.7,8.8889,,,0,0,0,2022-03-09T01:33:14Z,47,0.2987,1.2452
10.1389,13.5006,9,0.1432,0.001,113,41.7576,-1.7,8.8889,,,0,0,0,2022-03-09T01:33:15Z,48,0.2987,1.2452
10.6217,12.971,5,0.1462,0.001,115,41.4528,-2,8.8889,,,0,0,0,2022-03-09T01:33:16Z,49,0.2987,1.2452
11.1045,12.4186,2,0.1493,0.001,115,41.4528,-2.2,8.8889,,,0,0,0,2022-03-09T01:33:17Z,50,0.2987,1.2453
11.5873,13.5004,1,0.1525,0.001,114,41.4528,-2.4,8.8889,,,0,0,0,2022-03-09T01:33:18Z,51,0.2987,1.2453
12.231,12.9705,1,0.1559,0.001,114,41.148,-2.5,8.8889,,,0,0,0,2022-03-09T01:33:19Z,52,0.2987,1.2453
12.231,12.9705,8,0.1593,0.001,113,41.148,-2.2,8.8889,,,0,0,0,2022-03-09T01:33:20Z,53,0.2987,1.2453
13.1966,13.5002,7,0.1629,0.001,113,40.8432,-2.4,8.8889,,,0,0,0,2022-03-09T01:33:21Z,54,0.2987,1.2453
13.6794,13.5002,10,0.1667,0.001,113,40.8432,-2.3,8.8889,,,0,0,0,2022-03-09T01:33:22Z,55,0.2987,1.2453
14.0013,12.9705,14,0.1706,0.001,113,40.8432,-2,8.8889,,,0,0,0,2022-03-09T01:33:23Z,56,0.2987,1.2453
14.1622,12.9703,9,0.1746,0.001,113,40.2336,-2.2,8.8889,,,0,0,0,2022-03-09T01:33:24Z,57,0.2987,1.2454
14.3232,13.4999,18,0.1785,0.001,113,40.2336,-1.6,8.8889,,,0,0,0,2022-03-09T01:33:25Z,58,0.2987,1.2454
14.806,12.9703,19,0.1827,0.001,113,40.2336,-1.7,8.8889,,,0,0,0,2022-03-09T01:33:26Z,59,0.2987,1.2454
15.4497,12.9701,10,0.187,0.001,114,39.9288,-1.8,8.8889,,,0,0,0,2022-03-09T01:33:27Z,60,0.2987,1.2454
15.7716,12.4179,6,0.1913,0.001,114,39.9288,-1.7,8.8889,,,0,0,0,2022-03-09T01:33:28Z,61,0.2987,1.2454
15.7716,14.009,0,0.1957,0.001,115,39.624,-1.9,8.8889,,,0,0,0,2022-03-09T01:33:29Z,62,0.2987,1.2455
16.4153,14.5007,1,0.2003,0.001,115,39.3192,-2.1,8.8889,,,0,0,0,2022-03-09T01:33:30Z,63,0.2987,1.2455
16.7372,14.5007,1,0.2049,0.001,115,39.3192,-2.3,8.8889,,,0,0,0,2022-03-09T01:33:31Z,64,0.2987,1.2455
17.3809,14.9757,8,0.2098,0.001,114,39.0144,-2.6,8.8889,,,0,0,0,2022-03-09T01:33:32Z,65,0.2987,1.2456
18.0247,16.3194,15,0.2148,0.001,115,38.7096,-2.8,8.8889,,,0,0,0,2022-03-09T01:33:33Z,66,0.2987,1.2456
18.8293,17.5606,19,0.22,0.001,115,38.4048,-3.1,8.8889,,,0,0,0,2022-03-09T01:33:34Z,67,0.2987,1.2456
19.7949,17.1565,30,0.2255,0.001,115,38.4048,-3.2,8.8889,,,0,0,0,2022-03-09T01:33:35Z,68,0.2987,1.2456
20.4387,16.7431,31,0.2312,0.001,114,38.1,-3,8.8889,,,0,0,0,2022-03-09T01:33:36Z,69,0.2987,1.2456
21.0824,17.9546,39,0.237,0.001,113,37.7952,-3.3,8.8889,,,0,0,0,2022-03-09T01:33:37Z,70,0.2987,1.2456
21.7261,17.1559,30,0.2431,0.001,112,37.7952,-3,8.8889,,,0,0,0,2022-03-09T01:33:38Z,71,0.2987,1.2457
22.5308,19.453,34,0.2493,0.001,111,37.4904,-3.1,8.8889,,,0,0,0,2022-03-09T01:33:39Z,72,0.2987,1.2457
23.1746,19.089,34,0.2558,0.001,110,37.4904,-3.2,8.8889,,,0,0,0,2022-03-09T01:33:40Z,73,0.2987,1.2457
23.6574,17.9536,22,0.2623,0.001,111,37.4904,-2.9,8.8889,,,0,0,0,2022-03-09T01:33:41Z,74,0.2987,1.2458
23.9792,18.7176,0,0.269,0,110,37.1856,-2.2,8.8889,,,0,0,0,2022-03-09T01:33:42Z,75,0.2987,1.2458
23.4964,19.0883,0,0.2755,0,109,36.8808,-2,8.8889,,,0,0,0,2022-03-09T01:33:43Z,76,0.2987,1.2458
23.8183,19.4516,0,0.2821,0,109,36.8808,-2,8.8889,,,0,0,0,2022-03-09T01:33:44Z,77,0.2987,1.2459
24.3011,21.5041,0,0.2889,0,108,36.576,-2.5,8.8889,,,0,0,0,2022-03-09T01:33:45Z,78,0.2987,1.2459
24.462,21.8275,27,0.2957,0.001,107,36.576,-2.8,8.8889,,,0,0,0,2022-03-09T01:33:46Z,79,0.2987,1.2459
24.7839,21.1754,11,0.3026,0.001,107,36.2712,-2.9,8.8889,,,0,0,0,2022-03-09T01:33:47Z,80,0.2987,1.246
25.1058,21.8271,14,0.3095,0.001,107,35.9664,-2.8,8.8889,,,0,0,0,2022-03-09T01:33:48Z,81,0.2987,1.246
25.4276,21.1754,0,0.3166,0,107,35.9664,-2.3,8.8889,,,0,0,0,2022-03-09T01:33:49Z,82,0.2987,1.246
25.4276,21.5034,0,0.3237,0,108,35.6616,-2.3,8.8889,,,0,0,0,2022-03-09T01:33:50Z,83,0.2987,1.246
25.2667,21.503,0,0.3307,0,108,35.6616,-2.4,8.8889,,,0,0,0,2022-03-09T01:33:51Z,84,0.2987,1.2461
25.2667,20.5023,0,0.3377,0,108,35.6616,-2.4,8.8889,,,0,0,0,2022-03-09T01:33:52Z,85,0.2987,1.2461
25.1058,20.8408,0,0.3447,0,108,35.3568,-2.6,8.8889,,,0,0,0,2022-03-09T01:33:53Z,86,0.2987,1.2461
25.2667,20.8408,0,0.3517,0,109,35.3568,-2.7,8.8889,,,0,0,0,2022-03-09T01:33:54Z,87,0.2987,1.2461
25.4276,19.8064,0,0.3587,0,109,35.052,-2.7,8.8889,,,0,0,0,2022-03-09T01:33:55Z,88,0.2987,1.2461
25.7495,21.1735,6,0.3659,0.001,109,35.052,-2.6,8.8889,,,0,0,0,2022-03-09T01:33:56Z,89,0.2987,1.2462
25.9104,20.84,16,0.3731,0.001,109,35.052,-2.4,8.8889,,,0,0,0,2022-03-09T01:33:57Z,90,0.2987,1.2462
25.5886,20.8397,25,0.3802,0.001,109,35.052,-1.9,8.8889,,,0,0,0,2022-03-09T01:33:58Z,91,0.2987,1.2462
25.9104,21.5014,19,0.3874,0.001,110,35.052,-1.6,8.8889,,,0,0,0,2022-03-09T01:33:59Z,92,0.2987,1.2462
25.5886,22.1434,25,0.3945,0.001,110,35.052,-1.4,8.8889,,,0,0,0,2022-03-09T01:34:00Z,93,0.2987,1.2462
25.7495,21.501,13,0.4017,0.001,110,34.7472,-1.4,8.8889,,,0,0,0,2022-03-09T01:34:01Z,94,0.2987,1.2463
25.5886,20.5004,0,0.4088,0,110,34.7472,-1.6,8.8889,,,0,0,0,2022-03-09T01:34:02Z,95,0.2987,1.2463
25.5886,21.5006,8,0.4159,0.001,110,34.7472,-1.9,8.8889,,,0,0,0,2022-03-09T01:34:03Z,96,0.2987,1.2463
25.4276,21.1724,0,0.4229,0,111,34.7472,-1.7,8.8889,,,0,0,0,2022-03-09T01:34:04Z,97,0.2987,1.2463
25.1058,19.8049,0,0.4299,0,111,34.7472,-1.4,8.8889,,,0,0,0,2022-03-09T01:34:05Z,98,0.2987,1.2463
24.9448,19.8049,15,0.4368,0.001,111,34.7472,-1.4,8.8889,,,0,0,0,2022-03-09T01:34:06Z,99,0.2987,1.2463
